epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,13001.9,1.06662,0.64791,0.96139,0.90441,0.84589,0.92268,0.64682,0.89531,0.48203,0.87862,0.000154982,0.000154982,0.000154982
77,13172.5,1.06538,0.6447,0.96408,0.90433,0.85014,0.92322,0.64892,0.88917,0.47946,0.87716,0.000144161,0.000144161,0.000144161
78,13343.7,1.06215,0.6428,0.9623,0.90898,0.85082,0.9258,0.65267,0.87829,0.47508,0.87498,0.000133695,0.000133695,0.000133695
79,13516.5,1.06761,0.64981,0.96482,0.90846,0.84873,0.92485,0.65238,0.88119,0.47538,0.87582,0.000123596,0.000123596,0.000123596
80,13687.2,1.05069,0.63557,0.95581,0.91179,0.84859,0.92556,0.65397,0.88264,0.47549,0.87619,0.000113873,0.000113873,0.000113873
81,13858.3,1.04653,0.63406,0.95623,0.914,0.84579,0.92479,0.65094,0.88994,0.47629,0.87715,0.000104537,0.000104537,0.000104537
82,14029.9,1.04908,0.63624,0.957,0.90951,0.84949,0.92623,0.65517,0.8756,0.47218,0.87396,9.55951e-05,9.55951e-05,9.55951e-05
83,14202.0,1.04103,0.63059,0.95634,0.91628,0.85035,0.92737,0.65655,0.87507,0.4702,0.87354,8.70577e-05,8.70577e-05,8.70577e-05
84,14375.5,1.05478,0.63954,0.95916,0.91821,0.84917,0.92772,0.65433,0.87927,0.47016,0.87432,7.89327e-05,7.89327e-05,7.89327e-05
85,14548.0,1.03803,0.62739,0.95312,0.91375,0.85448,0.92802,0.65815,0.86564,0.46645,0.87182,7.12282e-05,7.12282e-05,7.12282e-05
86,14702.0,0.85311,0.4962,0.89229,0.90654,0.85294,0.9239,0.65078,0.87921,0.47353,0.875,6.39518e-05,6.39518e-05,6.39518e-05
87,14853.1,0.83344,0.48507,0.88596,0.90847,0.85218,0.92357,0.65179,0.88034,0.47403,0.87551,5.71106e-05,5.71106e-05,5.71106e-05
88,15004.3,0.83569,0.4853,0.88798,0.90698,0.85195,0.92404,0.65268,0.87666,0.47121,0.87527,5.07115e-05,5.07115e-05,5.07115e-05
