epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,16562,0.92095,0.54834,0.94641,0.94514,0.89954,0.95804,0.71959,0.76236,0.40094,0.86876,0.000214046,0.000214046,0.000214046
72,16793.2,0.91661,0.54122,0.94411,0.9503,0.89772,0.95946,0.72342,0.75641,0.39787,0.86718,0.000201611,0.000201611,0.000201611
73,17024,0.90724,0.53675,0.94081,0.94585,0.89815,0.95833,0.72307,0.75523,0.39773,0.86581,0.000189475,0.000189475,0.000189475
74,17255.9,0.90228,0.53563,0.94065,0.94955,0.89707,0.95877,0.72307,0.75207,0.39661,0.86496,0.000177651,0.000177651,0.000177651
75,17485.7,0.88799,0.52691,0.93608,0.95274,0.90082,0.95991,0.72567,0.74986,0.39339,0.86613,0.000166149,0.000166149,0.000166149
76,17717.3,0.88507,0.52191,0.93296,0.94827,0.90871,0.96119,0.7301,0.73259,0.38744,0.86143,0.000154982,0.000154982,0.000154982
77,17948.6,0.87978,0.51815,0.93499,0.95201,0.90284,0.96045,0.72893,0.74163,0.38896,0.86316,0.000144161,0.000144161,0.000144161
78,18178.9,0.87606,0.5179,0.93243,0.95611,0.90512,0.96252,0.73207,0.72818,0.38464,0.86016,0.000133695,0.000133695,0.000133695
79,18410.1,0.88594,0.52441,0.93716,0.95301,0.90779,0.9622,0.73162,0.73754,0.38621,0.86225,0.000123596,0.000123596,0.000123596
80,18640.6,0.86759,0.51278,0.92611,0.94603,0.90976,0.96166,0.73071,0.73977,0.38756,0.86263,0.000113873,0.000113873,0.000113873
81,18871.6,0.86137,0.51077,0.92835,0.94824,0.90958,0.96133,0.73245,0.73221,0.38465,0.86108,0.000104537,0.000104537,0.000104537
82,19101.9,0.86085,0.51041,0.92838,0.94954,0.91124,0.96261,0.73494,0.72904,0.3834,0.86003,9.55951e-05,9.55951e-05,9.55951e-05
83,19331.8,0.85348,0.50431,0.92749,0.94623,0.91466,0.96267,0.73676,0.72125,0.38149,0.85856,8.70577e-05,8.70577e-05,8.70577e-05
84,19563.4,0.86619,0.51374,0.92904,0.94911,0.91602,0.96301,0.73624,0.72783,0.38076,0.86005,7.89327e-05,7.89327e-05,7.89327e-05
85,19793.7,0.84937,0.50328,0.92368,0.95393,0.91111,0.96317,0.73813,0.72028,0.3788,0.85814,7.12282e-05,7.12282e-05,7.12282e-05
