epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,11766.1,1.32158,0.92799,1.05091,0.79533,0.74816,0.81589,0.49362,1.20884,0.70686,0.94234,0.000294239,0.000294239,0.000294239
66,11946.9,1.31031,0.91801,1.04391,0.80542,0.74482,0.81779,0.49633,1.21356,0.70138,0.94291,0.000280275,0.000280275,0.000280275
67,12125.8,1.30214,0.91184,1.04328,0.80175,0.7465,0.81848,0.49528,1.21831,0.70803,0.94255,0.000266532,0.000266532,0.000266532
68,12304.8,1.29984,0.90575,1.03626,0.80003,0.75404,0.8196,0.49883,1.2102,0.69595,0.94275,0.000253024,0.000253024,0.000253024
69,12484.5,1.29693,0.90326,1.03703,0.80843,0.75253,0.82113,0.50165,1.18689,0.69119,0.93218,0.000239766,0.000239766,0.000239766
70,12662.6,1.29606,0.90501,1.03743,0.80492,0.75075,0.82244,0.50145,1.18932,0.69134,0.93454,0.000226769,0.000226769,0.000226769
71,12841.3,1.29211,0.90296,1.03822,0.80739,0.75417,0.82451,0.50407,1.18632,0.69066,0.93452,0.000214046,0.000214046,0.000214046
72,13021.6,1.29215,0.90075,1.03484,0.81055,0.75309,0.82581,0.50551,1.18016,0.68569,0.93148,0.000201611,0.000201611,0.000201611
73,13198.4,1.27885,0.889,1.03178,0.80268,0.75563,0.82451,0.50309,1.2012,0.69083,0.93736,0.000189475,0.000189475,0.000189475
74,13386.7,1.27834,0.89329,1.0283,0.81529,0.7544,0.82764,0.50438,1.19363,0.68753,0.93451,0.000177651,0.000177651,0.000177651
75,13564.8,1.27613,0.88772,1.02776,0.8017,0.75782,0.82336,0.50305,1.19449,0.68673,0.93567,0.000166149,0.000166149,0.000166149
76,13759.8,1.27259,0.87908,1.02469,0.81187,0.75647,0.82746,0.50747,1.18547,0.68003,0.93168,0.000154982,0.000154982,0.000154982
77,13938.8,1.26803,0.87843,1.02838,0.81223,0.7617,0.83159,0.50648,1.1986,0.68054,0.93647,0.000144161,0.000144161,0.000144161
78,14129.6,1.26303,0.87154,1.02487,0.81265,0.76118,0.83203,0.51028,1.18127,0.67844,0.93119,0.000133695,0.000133695,0.000133695
79,14309.2,1.2717,0.88327,1.02812,0.80737,0.76822,0.83131,0.51233,1.17617,0.67611,0.92896,0.000123596,0.000123596,0.000123596
80,14485.3,1.26346,0.87387,1.01955,0.80786,0.76763,0.83282,0.51112,1.18579,0.67782,0.93196,0.000113873,0.000113873,0.000113873
81,14662.5,1.25515,0.87118,1.02316,0.80931,0.76636,0.83157,0.50881,1.18942,0.67768,0.93302,0.000104537,0.000104537,0.000104537
82,14850.4,1.25899,0.86869,1.02375,0.8102,0.77,0.83494,0.51183,1.18039,0.6731,0.93114,9.55951e-05,9.55951e-05,9.55951e-05
83,15026.2,1.2421,0.86138,1.01725,0.81279,0.76643,0.83541,0.51275,1.17473,0.67285,0.92828,8.70577e-05,8.70577e-05,8.70577e-05
